date,nav,shares_outstanding,total_net_assets
2025-04-24,40.589935,176300000,7156005576.59
2025-04-25,40.538793,176600000,7159150904.61
2025-04-28,40.815997,177000000,7224431447.75
2025-04-29,41.119125,177350000,7292476737.93
2025-04-30,41.350832,177550000,7341840265.49
2025-05-01,41.422181,177600000,7356579408.17
2025-05-02,41.939631,177850000,7458963408.17
2025-05-05,41.877791,177000000,7412369021.19
2025-05-06,41.589316,177550000,7384183013.46
2025-05-07,41.57919,177600000,7384464216.18
2025-05-08,41.354951,177900000,7357045778.21
2025-05-09,41.621537,178150000,7414876811.54
2025-05-12,41.63637,178150000,7417519373.11
2025-05-13,41.09465,177300000,7286081382.3
2025-05-14,40.740231,177400000,7227316924.76
2025-05-15,41.487772,177550000,7366153887.7
2025-05-16,42.012782,177000000,7436262477.9
2025-05-19,42.104179,177500000,7473491834.08
2025-05-20,41.872646,176500000,7390522077.36
2025-05-21,40.787697,176400000,7194949726.61
2025-05-22,40.62466,176400000,7166190048.32
2025-05-23,40.641537,176150000,7159006810.24
2025-05-27,41.309748,176150000,7276712137.0
2025-05-28,41.30424,176150000,7275741882.8
2025-05-29,41.694177,176150000,7344429356.02
2025-05-30,41.756648,177300000,7403453645.12
2025-06-02,41.794752,179000000,7481260614.13
2025-06-03,41.631076,178750000,7441554818.78
2025-06-04,41.772299,178750000,7466798454.69
2025-06-05,41.742544,178750000,7461479751.38
2025-06-06,41.87591,178350000,7468568573.95
2025-06-09,41.872551,178350000,7467969470.38
2025-06-10,42.22145,178250000,7525973549.5
2025-06-11,41.994816,178400000,7491875241.52
2025-06-12,42.237501,178700000,7547841419.99
2025-06-13,41.888313,178450000,7474969452.37
2025-06-16,41.907701,178450000,7478429303.17
2025-06-17,41.774258,178550000,7458793709.48
2025-06-18,41.849343,178300000,7461737887.06
2025-06-20,41.823179,178300000,7457072895.51
2025-06-23,42.065569,178950000,7527633655.28
2025-06-24,42.248726,178250000,7530835463.7
2025-06-25,41.210445,178150000,7341640746.4
2025-06-26,40.953597,179400000,7347075319.38
2025-06-27,41.132478,179200000,7370939971.2
2025-06-30,41.444461,178700000,7406125245.8
2025-07-01,41.698279,178350000,7436887994.6
2025-07-02,41.766067,178400000,7451066295.41
2025-07-03,41.815533,179350000,7499615922.89
2025-07-07,41.476788,179650000,7451304982.56
2025-07-08,41.413961,179550000,7435876718.69
2025-07-09,41.403276,178850000,7404975871.14
2025-07-10,41.60779,178900000,7443633602.44
2025-07-11,41.578347,179200000,7450839760.87
2025-07-14,41.85625,179200000,7500640053.73
2025-07-15,41.32016,179200000,7404572618.18
2025-07-16,41.761101,179200000,7483589245.78
2025-07-17,41.695638,179200000,7471858371.02
2025-07-18,41.846216,181450000,7592995895.63
2025-07-21,41.993521,181850000,7636521833.12
2025-07-22,42.742977,181850000,7772810303.61
2025-07-23,42.819282,181550000,7773840689.12
2025-07-24,42.774391,181550000,7765690665.12
2025-07-25,42.781056,181850000,7779734951.1
2025-07-28,42.032395,181550000,7630981349.14
2025-07-29,42.746398,181550000,7760608582.31
2025-07-30,42.134705,181550000,7649555638.36
2025-07-31,41.403067,181100000,7498095480.9
2025-08-01,41.306794,181300000,7488921769.99
2025-08-04,41.640593,181600000,7561931686.52
2025-08-05,41.760871,181200000,7567069849.02
2025-08-06,41.420844,181150000,7503385945.26
2025-08-07,41.588058,183300000,7623090957.05
2025-08-08,41.247318,182300000,7519386116.3
2025-08-11,40.979969,182300000,7470648291.88
2025-08-12,41.088532,181500000,7457568529.87
2025-08-13,41.348513,181500000,7504755143.29
2025-08-14,41.049488,181500000,7450482105.96
2025-08-15,41.327951,181500000,7501023163.32
2025-08-18,40.936598,181500000,7429992449.98
2025-08-19,41.675088,181500000,7564028501.43
2025-08-20,41.833942,185850000,7774838071.41
2025-08-21,41.677902,181050000,7545784119.53
2025-08-22,42.353231,180750000,7655346583.9
2025-08-25,42.126701,180750000,7614401127.36
2025-08-26,41.991601,181500000,7621475629.43
2025-08-27,42.173845,181500000,7654552813.75
2025-08-28,42.062644,181600000,7638576223.99
2025-08-29,42.301422,183650000,7768656233.04
2025-09-02,41.576034,184650000,7677014680.11
2025-09-03,41.490309,184650000,7661185597.48
2025-09-04,41.75724,184400000,7700035138.77
2025-09-05,42.173188,185350000,7816800325.89
2025-09-08,41.887024,185050000,7751193727.45
2025-09-09,41.879057,184850000,7741343692.27
2025-09-10,41.848904,185100000,7746232167.71
2025-09-11,42.536268,185700000,7898984919.28
2025-09-12,42.336746,185700000,7861933806.66
2025-09-15,42.284532,190700000,8063660242.4
2025-09-16,42.040599,185850000,7813245310.42
2025-09-17,42.014505,186100000,7818899336.24
2025-09-18,42.057362,186450000,7841595104.73
2025-09-19,41.862823,186450000,7805323340.14
2025-09-22,41.666489,186850000,7785383561.8
2025-09-23,41.992451,187000000,7852588309.83
2025-09-24,41.566204,187250000,7783271694.28
2025-09-25,41.460272,187150000,7759289968.92
2025-09-26,41.892982,187250000,7844460797.6
2025-09-29,41.960342,187350000,7861270034.25
2025-09-30,42.153156,187250000,7893178514.96
2025-10-01,42.131648,187250000,7889151061.84
2025-10-02,41.911408,187250000,7847911079.7
2025-10-03,42.069632,187450000,7885952484.24
2025-10-06,41.641019,187450000,7805609008.2
